TimeStamp,Open,High,Low,Close
2010-02-26 21:00:00,1.36159,1.37362,1.34346,1.36208
2010-03-05 21:00:00,1.36205,1.37962,1.35378,1.37622
2010-03-12 21:00:00,1.37619,1.38182,1.35030,1.35356
2010-03-19 20:00:00,1.35353,1.35692,1.32666,1.34151
2010-03-26 20:00:00,1.34148,1.35911,1.33848,1.34909
2010-04-02 20:00:00,1.34906,1.35377,1.32826,1.34941
2010-04-09 20:00:00,1.34939,1.36920,1.34726,1.35097
2010-04-16 20:00:00,1.35095,1.35254,1.32020,1.33741
2010-04-23 20:00:00,1.33744,1.34162,1.31144,1.33136
2010-04-30 20:00:00,1.33133,1.33591,1.25157,1.27307
2010-05-07 20:00:00,1.27309,1.30942,1.23592,1.23815
2010-05-14 20:00:00,1.23812,1.26727,1.21445,1.25712
2010-05-21 20:00:00,1.25709,1.25862,1.21541,1.22702
2010-05-28 20:00:00,1.22700,1.23540,1.19562,1.19660
2010-06-04 20:00:00,1.19662,1.21524,1.18765,1.20937
2010-06-11 20:00:00,1.20939,1.24164,1.20928,1.23733
2010-06-18 20:00:00,1.23730,1.24849,1.22092,1.23852
2010-06-25 20:00:00,1.23848,1.26112,1.21516,1.25493
2010-07-02 20:00:00,1.25495,1.27222,1.24804,1.26398
2010-07-09 20:00:00,1.26395,1.30070,1.25226,1.29262
2010-07-16 20:00:00,1.29266,1.30284,1.27330,1.29158
2010-07-23 20:00:00,1.29155,1.31064,1.28576,1.30303
2010-07-30 20:00:00,1.30300,1.33352,1.30258,1.32922
2010-08-06 20:00:00,1.32919,1.33076,1.27528,1.27531
2010-08-13 20:00:00,1.27528,1.29222,1.26634,1.27089
2010-08-20 20:00:00,1.27086,1.27792,1.25878,1.27334
2010-08-27 20:00:00,1.27336,1.28974,1.26258,1.28936
2010-09-03 20:00:00,1.28938,1.29186,1.26444,1.27107
2010-09-10 20:00:00,1.27104,1.31586,1.26757,1.30375
2010-09-17 20:00:00,1.30378,1.34941,1.30294,1.34916
2010-09-24 20:00:00,1.34913,1.37834,1.33814,1.37798
2010-10-01 20:00:00,1.37796,1.40294,1.36376,1.39289
2010-10-08 20:00:00,1.39292,1.41592,1.37754,1.39740
2010-10-15 20:00:00,1.39743,1.40503,1.36978,1.39285
2010-10-22 20:00:00,1.39282,1.40800,1.37342,1.39182
2010-10-29 20:00:00,1.39179,1.42822,1.38644,1.40337
2010-11-05 20:00:00,1.40341,1.40859,1.35739,1.36925
2010-11-12 21:00:00,1.36922,1.37508,1.34470,1.36860
2010-11-19 21:00:00,1.36858,1.37863,1.32011,1.32484
2010-11-26 21:00:00,1.32487,1.34179,1.29691,1.34116
2010-12-03 21:00:00,1.34118,1.34462,1.31648,1.32284
