DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
01/26/2015 11:00:00,EUR,Eurogroup Meeting,European Monetary Union,2,,,
01/26/2015 15:30:00,USD,Dallas Fed Manufacturing Business Index,United States,1,-4.400,3.500,
01/26/2015 16:30:00,USD,3-Month Bill Auction,United States,1,0.020,0.025,
01/26/2015 16:30:00,USD,6-Month Bill Auction,United States,1,0.075,0.075,
01/27/2015 00:00:00,EUR,EcoFin Meeting,European Monetary Union,2,,,
01/27/2015 13:30:00,USD,Durable Goods Orders ex Transportation,United States,2,-0.900,-1.300,0.600
01/27/2015 13:30:00,USD,Durable Goods Orders,United States,3,-3.700,-2.100,0.500
01/27/2015 13:55:00,USD,Redbook Index (YoY),United States,1,3.200,3.000,
01/27/2015 13:55:00,USD,Redbook Index (MoM),United States,1,-3.600,-3.500,
01/27/2015 14:00:00,USD,S&P/Case-Shiller Home Price Indices (YoY),United States,1,4.300,4.500,4.300
01/27/2015 14:45:00,USD,Markit Services PMI,United States,2,54.000,53.300,53.800
01/27/2015 14:45:00,USD,Markit PMI Composite,United States,2,54.200,53.500,
01/27/2015 15:00:00,USD,Consumer Confidence,United States,3,103.800,93.100,95.100
01/27/2015 15:00:00,USD,New Home Sales (MoM),United States,1,0.482,0.431,0.450
01/27/2015 15:00:00,USD,New Home Sales Change (MoM),United States,2,8.100,-6.700,
01/27/2015 15:00:00,USD,Richmond Fed Manufacturing Index,United States,1,6.000,7.000,6.000
01/28/2015 07:00:00,EUR,Import Price Index (MoM),Germany,1,-1.700,-0.800,-1.500
01/28/2015 07:00:00,EUR,Import Price Index (YoY),Germany,1,-3.700,-2.100,-3.500
01/28/2015 07:00:00,EUR,Gfk Consumer Confidence Survey,Germany,2,9.300,9.000,9.100
01/28/2015 07:45:00,EUR,Consumer Confidence,France,1,90.000,90.000,91.000
01/28/2015 10:52:17,EUR,30-y Bond Auction,Germany,1,1.070,1.770,
01/28/2015 12:00:00,USD,MBA Mortgage Applications,United States,2,-3.200,14.200,
01/28/2015 15:30:00,USD,EIA Crude Oil Stocks Change,United States,1,8.874,10.071,4.080
01/28/2015 18:00:31,USD,2-Year Note Auction,United States,1,0.540,0.703,
01/28/2015 19:00:00,USD,Fed's Monetary Policy Statement,United States,3,,,
01/28/2015 19:00:00,USD,Fed Interest Rate Decision,United States,3,0.250,0.250,0.250
01/29/2015 08:55:00,EUR,Unemployment Rate s.a.,Germany,3,6.500,6.600,6.500
01/29/2015 08:55:00,EUR,Unemployment Change,Germany,3,-10.000,-25.000,-10.000
01/29/2015 09:00:00,EUR,Private Loans (YoY),European Monetary Union,1,-0.500,-0.900,-0.700
01/29/2015 09:00:00,EUR,M3 Money Supply (3m),European Monetary Union,1,3.600,2.700,
01/29/2015 09:00:00,EUR,M3 Money Supply (YoY),European Monetary Union,1,3.600,3.100,3.500
01/29/2015 10:00:00,EUR,Consumer Confidence,European Monetary Union,2,-8.500,-8.500,-8.500
01/29/2015 10:00:00,EUR,Services Sentiment,European Monetary Union,1,4.800,4.000,6.000
01/29/2015 10:00:00,EUR,Industrial Confidence,European Monetary Union,1,-4.800,-4.000,-4.500
01/29/2015 10:00:00,EUR,Business Climate,European Monetary Union,1,0.120,0.150,0.100
01/29/2015 10:00:00,EUR,Economic Sentiment Indicator,European Monetary Union,1,101.400,100.600,101.500
01/29/2015 13:00:00,EUR,Consumer Price Index (YoY),Germany,2,-0.300,0.200,-0.100
01/29/2015 13:00:00,EUR,Harmonized Index of Consumer Prices (YoY),Germany,2,-0.500,0.100,-0.200
01/29/2015 13:00:00,EUR,Consumer Price Index (MoM),Germany,2,-1.000,0.000,-0.800
01/29/2015 13:00:00,EUR,Harmonized Index of Consumer Prices (MoM),Germany,2,-1.300,0.100,-1.000
01/29/2015 13:30:00,USD,Continuing Jobless Claims,United States,2,2.394,2.456,2.420
01/29/2015 13:30:00,USD,Initial Jobless Claims,United States,2,267.000,308.000,300.000
01/29/2015 15:00:00,USD,Pending Home Sales (YoY),United States,2,6.100,4.100,
01/29/2015 15:00:00,USD,Pending Home Sales (MoM),United States,1,-3.700,0.600,0.500
